"|","|__code","|__name","|__description","|__keywords__-","|__keywords","|__children__001","|__children__002","|__children__003","|__children__004","|__children__005","|__children__006","|__children__007","|__children__008","|__parent"
"5bb3ae25da3c38c71367bcc4","B20","Elementary & Secondary Schools","Preschool, elementary and secondary schools that provide a formal education for children and adolescents in kindergarten or first grade through grade twelve.","","Alternative Education","5bb3ae26da3c38c71367bcc5","5bb3ae26da3c38c71367bcc6","5bb3ae26da3c38c71367bcc7","5bb3ae26da3c38c71367bcc8","5bb3ae26da3c38c71367bcc9","","","","5bc787d9da3c38f0620b0240"
"","","","","","Boarding Schools","","","","","","","","",""
"","","","","","Child Development Education Issues","","","","","","","","",""
"","","","","","Community-Based Schools","","","","","","","","",""
"","","","","","Community Learning Centers","","","","","","","","",""
"","","","","","Extended-Service Schools","","","","","","","","",""
"","","","","","Full-Service Schools","","","","","","","","",""
"","","","","","Home-Based Education","","","","","","","","",""
"","","","","","Home Education","","","","","","","","",""
"","","","","","Home Schooling","","","","","","","","",""
"","","","","","Montessori Schools","","","","","","","","",""
"","","","","","Nontraditional Schools","","","","","","","","",""
"","","","","","Separately Organized Middle Schools","","","","","","","","",""
"","","","","","Yeshivas","","","","","","","","",""
"5bb3ae26da3c38c71367bcc5","B21","Preschools","Separately organized preschools or nursery schools and/or kindergartens which provide foundation-level learning for children (usually age two through five and four and one half or five respectively) prior to entering the formal school setting.","","Early Childhood Education","","","","","","","","","5bb3ae25da3c38c71367bcc4"
"","","","","","Head Start","","","","","","","","",""
"","","","","","Kindergartens","","","","","","","","",""
"","","","","","Nursery Schools","","","","","","","","",""
"","","","","","Preschool Education","","","","","","","","",""
"","","","","","Preschools","","","","","","","","",""
"","","","","","School Readiness Programs","","","","","","","","",""
"5bb3ae26da3c38c71367bcc6","B24","Primary & Elementary Schools","Schools classified as elementary by state and local practice and composed of any span of grades not above grade eight. Includes preschools and kindergartens if they are an integral part of an elementary school or a regularly established school system.","","Elementary Schools","","","","","","","","","5bb3ae25da3c38c71367bcc4"
"","","","","","Grades 1-4","","","","","","","","",""
"","","","","","Grades 1-6","","","","","","","","",""
"","","","","","Grades 1-8","","","","","","","","",""
"","","","","","K-4","","","","","","","","",""
"","","","","","K-6","","","","","","","","",""
"","","","","","K-8","","","","","","","","",""
"","","","","","Primary Schools","","","","","","","","",""
"5bb3ae26da3c38c71367bcc7","B25","Secondary & High Schools","Schools comprising any span of grades beginning with the next grade following an elementary school and ending at or below grade 12. Includes junior high schools or intermediate schools and high schools which provide formal instruction for students who want to prepare further education at the college level or for employment following graduation.","","College Preparatory Schools","","","","","","","","","5bb3ae25da3c38c71367bcc4"
"","","","","","Grades 7-12","","","","","","","","",""
"","","","","","Grades 8-12","","","","","","","","",""
"","","","","","Grades 9-12","","","","","","","","",""
"","","","","","Grades 10-12","","","","","","","","",""
"","","","","","High Schools","","","","","","","","",""
"","","","","","Junior High Schools","","","","","","","","",""
"","","","","","Intermediate Schools","","","","","","","","",""
"","","","","","Pre-Collegiate Education","","","","","","","","",""
"","","","","","Secondary Schools","","","","","","","","",""
"","","","","","Senior High Schools","","","","","","","","",""
"5bb3ae26da3c38c71367bcc8","B28","Special Education","Organizations that provide educational services including special placement and individualized programming, instruction and support services for children and youth who are gifted or have disabilities and require appropriately modified curricula, teaching methodologies and instructional materials in order to learn.","","Bilingual Education","","","","","","","","","5bb3ae25da3c38c71367bcc4"
"","","","","","Blind Children","","","","","","","","",""
"","","","","","Children with Hearing Disabilities","","","","","","","","",""
"","","","","","Children with Learning Disabilities","","","","","","","","",""
"","","","","","Deaf Children","","","","","","","","",""
"","","","","","Developmentally Disabled Children","","","","","","","","",""
"","","","","","Gifted and Talented Schools","","","","","","","","",""
"","","","","","Gifted Children","","","","","","","","",""
"","","","","","Gifted Schools","","","","","","","","",""
"","","","","","Mentally Retarded Children","","","","","","","","",""
"","","","","","Special Education Institutions","","","","","","","","",""
"","","","","","Special Schools","","","","","","","","",""
"","","","","","TAG Schools","","","","","","","","",""
"","","","","","Talented and Gifted Schools","","","","","","","","",""
"","","","","","Visually Impaired Children","","","","","","","","",""
"5bb3ae26da3c38c71367bcc9","B29","Charter Schools","Schools run independently of the traditional public school system but receiving public funding and operating by a charter.  This performance contract details the schools mission, program, goals, students served, method of assessment, and ways to measure success.","Charter Schools","","","","","","","","","","5bb3ae25da3c38c71367bcc4"
"5bb3ae27da3c38c71367bcca","B30","Vocational & Technical Schools","Separately organized trade high schools or vocational centers that provide formal preparation for semiskilled, skilled, technical or professional occupations for high-school-aged students and, in some cases, adults who want to develop skills for employment.","","Auto Mechanics","","","","","","","","","5bc787d9da3c38f0620b0240"
"","","","","","Building Trades","","","","","","","","",""
"","","","","","Cosmetology","","","","","","","","",""
"","","","","","High School Vocational Education","","","","","","","","",""
"","","","","","Industrial","","","","","","","","",""
"","","","","","Manufacturing","","","","","","","","",""
"","","","","","Post-Secondary Technical Schools","","","","","","","","",""
"","","","","","Technical Schools","","","","","","","","",""
"","","","","","Trade Schools","","","","","","","","",""
"","","","","","Vocational Centers","","","","","","","","",""
"","","","","","Vocational Schools","","","","","","","","",""
"","","","","","Vocational/Technical Schools","","","","","","","","",""
"","","","","","Vocational/Trade High Schools","","","","","","","","",""
"5bb3ae27da3c38c71367bccb","B40","Higher Education","Educational institutions that provide opportunities for individuals to acquire a higher level of knowledge, skills and specialization in their chosen area of interest in a formal school setting. ","Institutions of Higher Learning","","5bb3ae27da3c38c71367bccc","5bb3ae27da3c38c71367bccd","5bb3ae27da3c38c71367bcce","","","","","","5bc787d9da3c38f0620b0240"
"5bb3ae27da3c38c71367bccc","B41","Two-Year Colleges","Postsecondary educational institutions, known alternatively as community colleges or junior colleges and commonly organized into two-year programs, that offer instruction that has been adapted in content, level and schedule to meet the needs of the community in which they are located. Community or junior colleges award an Associates in Arts (A.A.) certificate.","","Year Colleges","","","","","","","","","5bb3ae27da3c38c71367bccb"
"","","","","","Associates in Arts Certificates","","","","","","","","",""
"","","","","","Community Colleges","","","","","","","","",""
"","","","","","Junior Colleges","","","","","","","","",""
"","","","","","Two-Year Colleges","","","","","","","","",""
"5bb3ae27da3c38c71367bccd","B42","Undergraduate Colleges","Educational institutions that offer college level courses of study that may lead to the customary bachelor of arts or science degree.","","Year Colleges","","","","","","","","","5bb3ae27da3c38c71367bccb"
"","","","","","Baccalaureate Degrees","","","","","","","","",""
"","","","","","Bachelor Degrees","","","","","","","","",""
"","","","","","Bachelor of Arts Degrees","","","","","","","","",""
"","","","","","Bachelor of Science Degrees","","","","","","","","",""
"","","","","","Black Colleges","","","","","","","","",""
"","","","","","Deaf Colleges","","","","","","","","",""
"","","","","","Four-Year Colleges","","","","","","","","",""
"","","","","","Liberal Arts Colleges","","","","","","","","",""
"","","","","","Undergraduate Colleges","","","","","","","","",""
"5bb3ae27da3c38c71367bcce","B43","Universities","Postsecondary educational institutions that offer postgraduate study at masters or doctorate levels in addition to an undergraduate program for people who meet entry level requirements and are interested in an advanced education. Some institutions of university status are known as colleges or institutes.","","Doctorates","","","","","","","","","5bb3ae27da3c38c71367bccb"
"","","","","","Graduate Schools","","","","","","","","",""
"","","","","","Masters Degrees","","","","","","","","",""
"","","","","","Technological Institutes","","","","","","","","",""
"","","","","","Universities","","","","","","","","",""
"5bb3ae27da3c38c71367bccf","B50","Graduate & Professional Schools","Separately incorporated postsecondary educational institutions provide opportunities for people who have completed their undergraduate education to receive advanced, postgraduate training in a professional field leading to a masters degree or doctorate.","","Accounting Schools","","","","","","","","","5bc787d9da3c38f0620b0240"
"","","","","","Advertising Schools","","","","","","","","",""
"","","","","","Agriculture Schools","","","","","","","","",""
"","","","","","Architectural Schools","","","","","","","","",""
"","","","","","Business Administration Schools","","","","","","","","",""
"","","","","","Business Schools","","","","","","","","",""
"","","","","","Chiropractic Teaching Facilities","","","","","","","","",""
"","","","","","Dental Schools","","","","","","","","",""
"","","","","","Divinity Schools","","","","","","","","",""
"","","","","","Engineering Schools","","","","","","","","",""
"","","","","","Fine Arts Schools","","","","","","","","",""
"","","","","","Health Sciences Schools","","","","","","","","",""
"","","","","","Hotel Administration Schools","","","","","","","","",""
"","","","","","Information Science Schools","","","","","","","","",""
"","","","","","Journalism Schools","","","","","","","","",""
"","","","","","Law Schools","","","","","","","","",""
"","","","","","Legal Education","","","","","","","","",""
"","","","","","Library and Information Science Schools","","","","","","","","",""
"","","","","","Library Schools","","","","","","","","",""
"","","","","","Management Schools","","","","","","","","",""
"","","","","","Marketing Schools","","","","","","","","",""
"","","","","","Medical Schools","","","","","","","","",""
"","","","","","Nursing Schools","","","","","","","","",""
"","","","","","Professional Schools","","","","","","","","",""
"","","","","","Public Administration Schools","","","","","","","","",""
"","","","","","Public Health Administration Schools","","","","","","","","",""
"","","","","","Public Health Schools","","","","","","","","",""
"","","","","","Schools of Education","","","","","","","","",""
"","","","","","Schools of Teaching","","","","","","","","",""
