EIN,NAME,STREET,CITY,ZIP,ACTIVITY,NTEE_CD,REVENUE_AMT
360268,IGLESIA VICTORIA,1445 N BOONVILLE AVE,SPRINGFIELD,65802-1894,1002029,,
10605038,HABITAT FOR HUMANITY INTERNATIONAL INC,PO BOX 223,CASSVILLE,65625-0223,29380000,L20Z,116609.0
10829991,MORLEY CHURCH OF GOD,PO BOX 267,MORLEY,63767-0267,1268000,,
10905967,DIOCESE OF JEFFERSON CITY REAL ESTATE CORPORATION,PO BOX 104900,JEFFERSON CTY,65110-4900,31150120,,
10911918,MISSOURI NATIONAL EDUCATION ASSOCIATION,1810 E ELM ST,JEFFERSON CTY,65101-4100,261000000,,0.0
10926268,NEW LIFE CHURCH MONARCH CAMPUS,776 W FARM ROAD 186,SPRINGFIELD,65810-2584,1002029,,
10955267,SONS OF UNION VETERANS OF THE CIVIL WAR,10515 HACKAMORE LN,SAINT LOUIS,63128-1203,907000000,,0.0
10961821,PROMISE OF GRACE ASSEMBLY,1823 SAN RICARDO DR APT A,ST LOUIS,63138-1942,1002029,,
15145247,AMVETS,318 BROAD ST,MOKANE,65059-1341,907000000,,126715.0
20723962,SHEPHERDS TABLE,PO BOX 1045,MOUNTAIN VIEW,65548-1045,1029000,,
20731227,ROTARY INTERNATIONAL,3200 S STATE ROUTE 291,INDEPENDENCE,64057-1702,520349200,,119844.0
20771177,GRANBY FIRST CHURCH OF GOD,PO BOX 243,GRANBY,64844-0243,1268000,,
30415363,MARIANIST PROVINCE OF THE UNITED STATES SOCIETY OF MARY,4425 W PINE BLVD,SAINT LOUIS,63108-2301,31150120,,
43223159,U S S WILLIAM R RUSH ASSOCIATION,1057 GOLDEN ORCHARD DR,O FALLON,63368-7990,319907000,,0.0
43623759,FIRST ASSEMBLY OF GOD,PO BOX 663,RICHLAND,65556-0663,1002029,,
43658530,CHRIST COVENANT CHURCH,8106 E 102ND ST,KANSAS CITY,64134-2019,1000000,,
43661554,THE GRACE CENTER CHURCH INC,1200 W GANNON DR,FESTUS,63028-2603,1029000,,
43844141,OZARK FIRST,PO BOX 2016,OZARK,65721-2016,1000000,,
50525052,CHURCH OF THE RESURRECTION FOUNDATION,1201 WALNUT ST STE 2800,KANSAS CITY,64106-2159,1919000,,
61024639,DAUGHTERS OF ISABELLA,4611 DULIN CREEK RD,HOUSE SPRINGS,63051-2190,600902922,,0.0
61702800,MID-MISSOURI CHAPTER-MILITARY OFFICERS ASSOCIATION OF AMERICA,PO BOX 1694,COLUMBIA,65205-1694,512907908,,0.0
61827861,BETA GAMMA SIGMA INC,11814 BORMAN DR,SAINT LOUIS,63146-4113,323000000,,0.0
112535851,LIFE CHURCH,1010 INDIAN CREEK TRL,HOUSTON,65483-2147,1002029,,
113659836,CAMDENTON FOURSQUARE CHURCH,PO BOX 1146,CAMDENTON,65020-1146,325059927,,
113707463,GOLDEN CITY MISSION OF ENCOURAGEMENT,505 MILL ST,GOLDEN CITY,64748-8259,1000000,,
131623921,CAMP FIRE,1801 MAIN ST STE 200,KANSAS CITY,64108-2352,349059000,O43Z,4407947.0
131995940,LUDHIANA CHRISTIAN MEDICAL COLLEGE BOARD U S A INC,PO BOX 1327,COLUMBIA,65205-1327,179029000,Q113,805585.0
132852284,ONWARD FOR CHRIST EVANGELISTIC ASSOCIATION INC,706 COUNTY ROAD 533,JACKSON,63755-7093,1002000,,0.0
133352209,INTERNATIONAL PEDIATRIC NEPHROLOGY ASSOCIATION HOSPITAL,2401 GILLHAM RD,KANSAS CITY,64108-4619,161179000,,1034420.0
133470887,COALITION OF LABOR UNION WOMEN CLUB,600 SW JEFFERSON ST STE 201,LEES SUMMIT,64063-3988,261279000,,0.0
134263755,CARMELITE RELIGIOUS OF TRIVANDRUM,4172 DELOR ST,SAINT LOUIS,63116-3358,31150120,,
134297829,INDEPENDENCE KAYROS CHURCH OF THE NAZARENE,11604 E 38TH TER S,INDEPENDENCE,64052-2504,1000000,,
136029883,NAPIER FOUNDATION T-3422,101 S HANLEY RD STE 1075,SAINT LOUIS,63105-3438,179600324,,
141918863,LIVING WORD CHAPEL,1302 W EAGLEWOOD DR,NIXA,65714-8363,1000000,,
141959111,BETA GAMMA SIGMA INC,11814 BORMAN DR,SAINT LOUIS,63146-4113,323000000,,0.0
142007106,PROMISE INNER CITY MINISTRIES,6253 HIGHWAY K,TROY,63379-4819,1000000,,
161608735,OUR LADY OF PEACE INC,12250 WEBER HILL RD STE 200,SAINT LOUIS,63127-1552,31150120,,25621917.0
161668018,HOUSE OF JOY,407 S SHAW ST,RICHMOND,64085-1705,1030059,,
161695846,CAMP FIRE,1801 MAIN ST STE 200,KANSAS CITY,64108-2352,59349000,O43Z,0.0
200149536,VAJRADHATU,425 MARSHALL AVE,SAINT LOUIS,63119-1833,1915000,,
200328194,HALLSVILLE NEW HORIZONS,545 N RTE B,HALLSVILLE,65255-8918,1000000,,
200476698,AMVETS,291 COUNTY ROAD 620A,ISABELLA,65676-8166,907000000,,0.0
200504199,JOSEPH INTERNATIONAL INC,10636 COLLEGE AVE,KANSAS CITY,64137-1771,1029000,,0.0
