EIN,NAME,STREET,CITY,ZIP,ACTIVITY,NTEE_CD,REVENUE_AMT
10415961,VETERANS FOR PEACE INC,1404 N BROADWAY,SAINT LOUIS,63102-2303,123000000,W30Z,553148.0
10565782,CHINA TRAINING NETWORK,PO BOX 11032,SPRINGFIELD,65808-1032,0,X20,138838.0
10575589,THE UNIVERSAL BUDDHIST CONGREGATION QUANG PHAP RELIGIOUS MONASTIC INST,5232 BULWER AVE,SAINT LOUIS,63147-3110,0,X50,
10582036,FO GUANG SHAN SAINT LOUIS BUDDHIST CENTER,3109 SMILEY RD,BRIDGETON,63044-3043,0,X50,
10584486,ST LOUIS SENIOR DOG PROJECT,7488 RIVERMONT TRL,HOUSE SPRINGS,63051-2033,0,D20,140000.0
10586306,BARCEDA FAMILIES,413 W WATER ST,GREENFIELD,65661-1353,0,P20,5146.0
10605038,HABITAT FOR HUMANITY INTERNATIONAL INC,PO BOX 223,CASSVILLE,65625-0223,29380000,L20Z,116609.0
10618842,TRINITY OUTREACH MINISTRIES INC,565 N WEST BYP,SPRINGFIELD,65802-5349,0,X21,
10624838,FAERY TAILS CORGI RESCUE OF ST LOUIS,PO BOX 190816,SAINT LOUIS,63119-6816,0,D20,0.0
10625543,BUCKHAWK CENTER,1509 CR 437B,MOUNTAIN VIEW,65548-8864,0,D20,0.0
10643653,AMERICAN ESKIMO RESCUE OF SAINT LOUIS INC,PO BOX 190523,SAINT LOUIS,63119-6523,0,D20,56583.0
10643912,K-LIFE MINISTRIES,PO BOX 701,BOLIVAR,65613-0701,7000000,I21Z,
10657366,SOJOURNER INC,1410 E KEARNEY ST STE D,SPRINGFIELD,65803-4100,0,X20,
10670203,NEW GENERATIONAL CHRISTIAN CENTER CHURCH INC,12297 A NATURAL BRIDGE,ST LOUIS,63044-2063,0,X20,
10684355,FRIENDS OF CARONDELET PARK INC,3910 BOWEN ST,SAINT LOUIS,63116-3126,0,N32,0.0
10750030,KINGS SANCTUARY-OUTREACH MINISTRY,7330 OLIVE ST RD,UNIVERSITY CITY,63130-0000,0,X20,
10752303,LIGHTHOUSE DELIVERANCE MINISTRY,PO BOX 916,ST ROBERT,65584-0916,0,X20,
10756138,FIVE ACRES ANIMAL SHELTER,1099 PRALLE LN,SAINT CHARLES,63303-5735,0,D20,1012661.0
10757598,CALVARYS GRACE MINISTRIES,PO BOX 1672,POPLAR BLUFF,63902-1672,0,X20,0.0
10760435,KINGDOM YOUTH ALLIANCE INC,5301 COUNTY ROAD 220,KINGDOM CITY,65262-2014,0,X20,
10765869,ALL FAITH CHURCH INC,2823 MARCUS AVE,ST LOUIS,63115-1902,0,X20,
